Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
72	0.0429475717246532	0.0433612316846848	0.0438873097300529	0.0446979105472565	0.0444348193705082	0.0453886725008488	0.0455003455281258	0.0464848317205906	0.0464699007570744	0.0468937903642654	0.0472033098340034	0.0475894063711166	0.0484767705202103	0.0486554875969887	0.0493459776043892	0.049256969243288	0.0500613749027252	0.0502783767879009	0.0507036969065666	0.0511054918169975	0.0526657775044441	0.0522073097527027	0.0529449619352818	0.0529825016856194	0.0538990348577499	0.0541683472692966	0.054800808429718	0.055182471871376	0.0557595305144787	0.0561475940048695	0.0563100725412369	0.0575891919434071	0.0576309561729431	0.0586551651358604	0.0597710087895393	0.0605791695415974	0.0607108809053898	0.0611230470240116	0.0620504282414913	0.0622265934944153	0.0631691813468933
75	0.0396547839045525	0.0396667160093784	0.0399656258523464	0.0401714257895947	0.0406455360352993	0.0406929329037666	0.0408975407481194	0.0415767431259155	0.0425830446183681	0.0425317510962486	0.0428650677204132	0.0431213527917862	0.043679416179657	0.0437236130237579	0.0442231893539429	0.0446670949459076	0.0450137704610825	0.0453738607466221	0.0458264164626598	0.0458906777203083	0.0465736389160156	0.0471724905073643	0.0472421385347843	0.0476691238582134	0.0477299205958843	0.0487192124128342	0.049047015607357	0.0497457385063171	0.0497061833739281	0.0507048517465591	0.0506295897066593	0.050797451287508	0.051929522305727	0.0520787313580513	0.0530818477272987	0.0528206638991833	0.053898386657238	0.0546917878091335	0.0548289567232132	0.0555947907269001	0.0561975240707397
78	0.0349772199988365	0.0348961278796196	0.0354042761027813	0.0359934791922569	0.0361049696803093	0.0361495837569237	0.0366819128394127	0.0374248996376991	0.0373351126909256	0.0381127335131168	0.0384338535368443	0.0384782291948795	0.0390228554606438	0.0391914956271648	0.0397282019257545	0.0401670150458813	0.0401562787592411	0.0406324826180935	0.0409521237015724	0.0411261357367039	0.0413977913558483	0.0417491123080254	0.042911883443594	0.0427197553217411	0.0426442883908749	0.0435123294591904	0.043726734817028	0.0438872277736664	0.0444189868867397	0.0446144491434097	0.0453887060284615	0.0457449331879616	0.0459033958613873	0.0468513108789921	0.0471898354589939	0.0483540520071983	0.0479927323758602	0.048452977091074	0.0484489239752293	0.0491060242056847	0.049928542226553
81	0.0331233367323875	0.0333373174071312	0.0331460162997246	0.033457987010479	0.0334568060934544	0.0343253687024117	0.0345920398831367	0.0343849956989288	0.0345020368695259	0.0352831818163395	0.0363644547760487	0.0355573855340481	0.0364886336028576	0.036571342498064	0.0368289351463318	0.037172444164753	0.0373600386083126	0.0376586429774761	0.0380520783364773	0.0382524542510509	0.0385710634291172	0.039398331195116	0.0393345206975937	0.0406570211052895	0.040081299841404	0.0403316728770733	0.0402541309595108	0.0411995202302933	0.0414957068860531	0.0416316352784634	0.0416722558438778	0.0422709546983242	0.042215634137392	0.0426132641732693	0.0433295033872128	0.0436253994703293	0.0448120795190334	0.0445056110620499	0.0456773936748505	0.0452753454446793	0.0457958690822124
84	0.0316122621297836	0.0307906139642	0.0312823206186295	0.0314834490418434	0.0317660421133041	0.0321889035403728	0.0321314334869385	0.0320579893887043	0.0325578600168228	0.0327970124781132	0.0332828462123871	0.0338755063712597	0.0340562574565411	0.0340365320444107	0.0344975367188454	0.0349695459008217	0.0347239673137665	0.0349691696465015	0.0352492481470108	0.0354505740106106	0.035814706236124	0.0364467836916447	0.0368273742496967	0.0362918674945831	0.037594523280859	0.0369685813784599	0.0376306138932705	0.037780437618494	0.0378598310053349	0.0382804274559021	0.0385891199111938	0.0387077108025551	0.0391712971031666	0.0400972962379456	0.0401021055877209	0.0403498858213425	0.0404223017394543	0.0419038683176041	0.0410770401358604	0.0418827086687088	0.0424075499176979
87	0.0284878741949797	0.0286758337169886	0.0285398289561272	0.0288641899824142	0.0292821731418371	0.0292172767221928	0.0292911175638437	0.0299178007990122	0.0301385056227446	0.0303333383053541	0.0305851306766272	0.0304384250193834	0.0314171873033047	0.0313505008816719	0.0314589217305183	0.03203035145998	0.0319052748382092	0.0322407819330692	0.0324553921818733	0.0326980613172054	0.0328607149422169	0.0330080389976501	0.0332769528031349	0.0331326015293598	0.0338957458734512	0.0347180478274822	0.0344554893672466	0.0345976650714874	0.0349291115999222	0.035098560154438	0.0353808104991913	0.0356026999652386	0.0358856730163097	0.0361815802752972	0.0364179201424122	0.0370445922017097	0.0374248027801514	0.0375716090202332	0.0377098023891449	0.0385541468858719	0.0381706655025482
90	0.0268459916114807	0.0277641601860523	0.027215663343668	0.0274939797818661	0.0271881353110075	0.0276515316218138	0.0276138372719288	0.0284830369055271	0.0282632801681757	0.0285459365695715	0.0285292267799377	0.028398921713233	0.0295689422637224	0.0298338066786528	0.0296489410102367	0.0299202352762222	0.0299293454736471	0.0300676487386227	0.0303854271769524	0.030659107491374	0.0306867696344852	0.0304824095219374	0.0309284683316946	0.0317664332687855	0.0317601710557938	0.0317377708852291	0.0325315780937672	0.0325396358966827	0.032755620777607	0.0327158756554127	0.0324645712971687	0.032923199236393	0.0330826155841351	0.0336312912404537	0.0342862270772457	0.0338033214211464	0.0340282320976257	0.0346804521977901	0.0355399362742901	0.0353730842471123	0.0357529930770397
93	0.0247590560466051	0.0244358088821173	0.0245583616197109	0.0247580446302891	0.0250522755086422	0.0250862799584866	0.0257048457860947	0.0254042744636536	0.0260762684047222	0.0261497404426336	0.0259964615106583	0.0263130329549313	0.0266123469918966	0.0269067231565714	0.0277910139411688	0.0271157268434763	0.0273666251450777	0.0275068841874599	0.0276319533586502	0.0281788539141417	0.0280247330665588	0.0288071259856224	0.0283838994801044	0.0292213428765535	0.028541112318635	0.0289459116756916	0.0295238811522722	0.0304666459560394	0.0294024012982845	0.0296038258820772	0.0300728678703308	0.0302883330732584	0.0307412762194872	0.0302751753479242	0.0308558121323586	0.0314851477742195	0.0316486991941929	0.0320757254958153	0.0317646339535713	0.0322054363787174	0.0328931696712971
96	0.0228104460984468	0.0233328342437744	0.0239246748387814	0.0235852859914303	0.023646792396903	0.0237595811486244	0.0237300805747509	0.0233716927468777	0.02454281039536	0.0243443455547094	0.0245388839393854	0.0246281605213881	0.0247431322932243	0.0249737985432148	0.0251929108053446	0.0263001155108213	0.0254505723714828	0.0257139001041651	0.0258222278207541	0.0257689077407122	0.0259436145424843	0.0265325643122196	0.0266041997820139	0.0264365747570992	0.0270302183926105	0.0274714753031731	0.0274280589073896	0.027617409825325	0.0281646549701691	0.0278673190623522	0.0279717463999987	0.0280878990888596	0.027817577123642	0.0287694744765759	0.0290853716433048	0.0290821120142937	0.028759902343154	0.0298439543694258	0.0298568811267614	0.0300286076962948	0.0301405340433121
99	0.0211550313979387	0.0209759380668402	0.0208653416484594	0.0222569592297077	0.0215288568288088	0.021581282839179	0.0215804111212492	0.0218218509107828	0.0219900459051132	0.0221100933849812	0.0225474610924721	0.0225063599646091	0.0227226428687572	0.0229974538087845	0.0229828748852015	0.0231109987944365	0.0235435012727976	0.0235721990466118	0.0232093445956707	0.0236042961478233	0.0240586306899786	0.0238858833909035	0.0244443118572235	0.0248546954244375	0.0249110795557499	0.0244822278618813	0.0249271243810654	0.0254023335874081	0.0253187343478203	0.0259659234434366	0.0255457703024149	0.0258874632418156	0.0261360425502062	0.0260804034769535	0.026334173977375	0.0264185220003128	0.0271159689873457	0.0264575127512217	0.0269051492214203	0.0273720119148493	0.0274727568030357
102	0.0193312186747789	0.0190300401300192	0.0192153640091419	0.0188613478094339	0.0200247932225466	0.0198302771896124	0.0195010025054216	0.020127035677433	0.0194252915680408	0.019809864461422	0.020442072302103	0.0203905440866947	0.0203022491186857	0.0208683926612139	0.0207473672926426	0.0207045692950487	0.0215271543711424	0.0212987903505564	0.0215402096509933	0.0211644321680069	0.0218981597572565	0.0213288702070713	0.0216931849718094	0.0224159620702267	0.0219146963208914	0.0223842207342386	0.022369384765625	0.0225560870021582	0.0225486848503351	0.0227424651384354	0.0237516202032566	0.0232243277132511	0.0227133948355913	0.0237226169556379	0.0237382259219885	0.0237876866012812	0.0240395497530699	0.024519631639123	0.0248871874064207	0.0245664231479168	0.025180134922266
105	0.017605135217309	0.0175728593021631	0.0183993428945541	0.01827048137784	0.0183878000825644	0.0183780789375305	0.0186055544763803	0.0187191758304834	0.017945796251297	0.0185352899134159	0.0192499179393053	0.0191500820219517	0.0189302936196327	0.019179517403245	0.019572677090764	0.0193427223712206	0.0197503138333559	0.020052082836628	0.0201163608580828	0.0197373144328594	0.0198424942791462	0.0204307027161121	0.020232304930687	0.0205779261887074	0.0206563640385866	0.0211146492511034	0.0210374463349581	0.0211621299386024	0.0211740732192993	0.0213847495615482	0.0214612483978271	0.0223852172493935	0.0219195429235697	0.0217587891966105	0.0222111083567142	0.0223926156759262	0.0218967776745558	0.022417651489377	0.0226905141025782	0.0224819723516703	0.0228160545229912
108	0.0178757756948471	0.0176954120397568	0.0169182475656271	0.0176482032984495	0.017658919095993	0.0180464051663876	0.0180883184075356	0.0178672838956118	0.0182336010038853	0.0185202956199646	0.0187715571373701	0.0186772402375937	0.0185004342347383	0.0187962278723717	0.0189014244824648	0.0186408460140228	0.0194569192826748	0.0189700070768595	0.019845649600029	0.0193932503461838	0.0190220233052969	0.0196834746748209	0.020115552470088	0.0195443108677864	0.0202737841755152	0.0195774082094431	0.0202376861125231	0.0206416398286819	0.0205239597707987	0.0203493814915419	0.0205701347440481	0.0206102896481752	0.0211956929415464	0.0210469774901867	0.0209959838539362	0.0212104525417089	0.0216823518276215	0.0214598998427391	0.0215631369501352	0.0220320038497448	0.0219823736697435
111	0.0156114213168621	0.0157061722129583	0.0166865941137075	0.0158576536923647	0.0160682275891304	0.0161938052624464	0.0171330757439137	0.0160827971994877	0.0172472726553679	0.0169908087700605	0.0170110668987036	0.0169744119048119	0.0167061071842909	0.0171702355146408	0.0171468816697598	0.016961732879281	0.0172729175537825	0.0176514610648155	0.0176081713289022	0.0186692196875811	0.017622135579586	0.0177750550210476	0.0182670000940561	0.017992390319705	0.0183354746550322	0.018291387706995	0.018113462254405	0.0185192935168743	0.018561715260148	0.0185549408197403	0.0187759846448898	0.0191567242145538	0.0192713849246502	0.0200352184474468	0.019536042585969	0.0194312520325184	0.0195455364882946	0.0198487285524607	0.0197789929807186	0.0196883007884026	0.0198832843452692
114	0.0153182279318571	0.0150934094563127	0.0148547301068902	0.0156063484027982	0.0157127492129803	0.0158546604216099	0.015457290224731	0.016299506649375	0.0161095447838306	0.0162560548633337	0.015979366376996	0.0159359574317932	0.0156232211738825	0.0161311570554972	0.0164276827126741	0.0161655768752098	0.0165708642452955	0.0167429950088263	0.0166464745998383	0.0169833060353994	0.0176445934921503	0.0168186035007238	0.0167597178369761	0.0172389000654221	0.0170472543686628	0.0170397628098726	0.0176470596343279	0.0175052341073751	0.01736562512815	0.0178641993552446	0.0179474577307701	0.018106346949935	0.0177507046610117	0.0178684405982494	0.0185836479067802	0.0180480908602476	0.0182991847395897	0.0181331299245358	0.0183939710259438	0.0188896842300892	0.0188322514295578
117	0.014037799090147	0.0136743383482099	0.0142174558714032	0.0141383074223995	0.0142240710556507	0.0139712849631906	0.0140486443415284	0.0148118371143937	0.0148402089253068	0.014325151219964	0.0143436407670379	0.0145566361024976	0.0144362403079867	0.014764635823667	0.0146858748048544	0.0147130396217108	0.0150095801800489	0.0150682469829917	0.0153796682134271	0.0150804808363318	0.0152370827272534	0.016270138323307	0.0151850795373321	0.0155356824398041	0.0157246608287096	0.0157238338142633	0.0158995445817709	0.0161337126046419	0.0160713493824005	0.0156865082681179	0.0159208420664072	0.0159713756293058	0.0163491759449244	0.0165388286113739	0.0166176538914442	0.0172396339476109	0.0168130919337273	0.0164965987205505	0.0169508680701256	0.0169765781611204	0.0171708445996046
120	0.0131870871409774	0.0132869528606534	0.0130678527057171	0.0129362316802144	0.0131758572533727	0.0133449863642454	0.01365458779037	0.0140872811898589	0.0133532201871276	0.0138648049905896	0.0135917579755187	0.0138825373724103	0.0134343830868602	0.0139670604839921	0.0141229527071118	0.0138441510498524	0.0137894432991743	0.0143847279250622	0.014527153223753	0.0139616746455431	0.0139870643615723	0.0144150704145432	0.0154021168127656	0.0146687934175134	0.0149405207484961	0.0146655598655343	0.0150100905448198	0.015227341093123	0.0148103954270482	0.0156969055533409	0.0152010964229703	0.0153256766498089	0.0153423389419913	0.0151823554188013	0.0155264297500253	0.0157239641994238	0.0159107148647308	0.016186298802495	0.0162047445774078	0.0161451809108257	0.016212111338973
123	0.0123551702126861	0.0124352118000388	0.0125670302659273	0.0129021257162094	0.0126103777438402	0.0125760091468692	0.0126704936847091	0.0124464202672243	0.0126759801059961	0.0124630751088262	0.013202921487391	0.0127988923341036	0.0126902917400002	0.0130547983571887	0.0130308205261827	0.0132097695022821	0.0132936649024487	0.0135058965533972	0.0131861623376608	0.0131083950400352	0.0137145724147558	0.0135754849761724	0.0138047272339463	0.0146326925605536	0.0136714288964868	0.0139166777953506	0.0137602211907506	0.0138993421569467	0.0140429046005011	0.0135759590193629	0.0135698216035962	0.0139950010925531	0.0141015173867345	0.0143738435581326	0.0142807029187679	0.0146369384601712	0.0148837035521865	0.0144341504201293	0.0142269944772124	0.0147277843207121	0.0149318166077137
126	0.0120089007541537	0.0113654164597392	0.0109932748600841	0.010861617513001	0.0115485722199082	0.0110275950282812	0.0113344993442297	0.0106459427624941	0.0118486927822232	0.0113423503935337	0.0115226581692696	0.012442615814507	0.0114011624827981	0.0120952241122723	0.0118098324164748	0.0119056887924671	0.0119199445471168	0.0121354162693024	0.0120197124779224	0.0122619969770312	0.0120478803291917	0.012483038008213	0.0121344430372119	0.0124541614204645	0.013287503272295	0.0123964827507734	0.0125090070068836	0.0129035301506519	0.0127096502110362	0.0128623424097896	0.0130236782133579	0.0128378020599484	0.0125659434124827	0.0126772820949554	0.0131272301077843	0.0128516340628266	0.0134562812745571	0.0136221507564187	0.013650200329721	0.0132139874622226	0.0136160897091031
																																									
TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel	TAGB Profiel
X(mm)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)	Y(%/100)
-172.4	0.00455516250804067	0.0047754137776792	0.00415432034060359	0.00454749166965485	0.00424340087920427	0.00425678212195635	0.00384556804783642	0.00409709801897407	0.00421402882784605	0.00418860837817192	0.00367368501611054	0.00434224819764495	0.00474818330258131	0.00362349464558065	0.00431270431727171	0.00416571972891688	0.00437587359920144	0.00426246924325824	0.00413127429783344	0.00399222131818533	0.00387189676985145	0.00393750006332994	0.00399482250213623	0.00421911850571632	0.00404413463547826	0.00382345239631832	0.004749093670398	0.00378912896849215	0.00313251698389649	0.00455545773729682	0.0035350751131773	0.00389288039878011	0.00398997589945793	0.00385369500145316	0.00383544992655516	0.00396835524588823	0.00378098525106907	0.00366099528037012	0.00347574963234365	0.00442404905334115	0.00338091631419957
-169.4	0.00440289173275232	0.00489601120352745	0.00490586925297976	0.00472063710913062	0.00476431334391236	0.00441098818555474	0.00493901269510388	0.00474650645628572	0.00469031184911728	0.0048707383684814	0.00453031761571765	0.00460701575502753	0.00434655696153641	0.00441374816000462	0.00505844596773386	0.00470747193321586	0.00481095677241683	0.00456960080191493	0.00439077662304044	0.0044640195555985	0.004195312038064	0.00438485201448202	0.00453477958217263	0.00435400567948818	0.00399062409996986	0.00416572904214263	0.00422537606209517	0.00504882400855422	0.00475991703569889	0.00390205066651106	0.00457587745040655	0.0043642190285027	0.00447116885334253	0.00446275481954217	0.00399283226579428	0.00372184836305678	0.00399445695802569	0.0040821903385222	0.00420496100559831	0.00383245619013906	0.00457968330010772
-166.4	0.00635559903457761	0.00628916407003999	0.00687722628936172	0.00623920653015375	0.00575600238516927	0.00577080808579922	0.00604962604120374	0.00602263212203979	0.00610647723078728	0.00611081253737211	0.00577784376218915	0.00595273170620203	0.00571107352152467	0.00565278856083751	0.00609081005677581	0.00622692797333002	0.00588960060849786	0.00541701912879944	0.00565290963277221	0.00570923462510109	0.00606080191209912	0.00602586194872856	0.00557293416932225	0.00549892848357558	0.00629728427156806	0.00587094901129603	0.00592981092631817	0.00584917049854994	0.00637541338801384	0.00606564991176128	0.00553541583940387	0.00581539748236537	0.00544922705739737	0.00540871126577258	0.00547440582886338	0.00529290176928043	0.00587116973474622	0.0052136410959065	0.00525390589609742	0.00482511660084128	0.00503920763731003
-163.4	0.00553249474614859	0.00571505539119244	0.00585241382941604	0.00613896455615759	0.00603145454078913	0.00576543947681785	0.00567578850314021	0.00546384230256081	0.00577955506742001	0.00563660496845841	0.0059678596444428	0.00556696578860283	0.00547459488734603	0.00513210566714406	0.00566287245601416	0.00606246758252382	0.00533130532130599	0.00549330236390233	0.00546201271936297	0.00552983116358519	0.00610099779441953	0.0056202276609838	0.00578697584569454	0.00570179894566536	0.00546887284144759	0.0055849221535027	0.00515973754227161	0.00508714187890291	0.00533469393849373	0.00613364856690168	0.00554717984050512	0.00525084370747209	0.0052968468517065	0.00554642640054226	0.00557491229847074	0.00553987454622984	0.00546135380864143	0.0051410417072475	0.00478089600801468	0.00538883544504642	0.00522598251700401
-160.4	0.00652519008144736	0.00639300374314189	0.00609050923958421	0.00647673988714814	0.00720369443297386	0.00632544420659542	0.00607829075306654	0.00584870995953679	0.00599695602431893	0.00592781649902463	0.0062934304587543	0.00598383694887161	0.00568516179919243	0.00582262827083468	0.00565549964085221	0.00605478929355741	0.00666052149608731	0.00595176964998245	0.00620760209858418	0.00612584361806512	0.00635048979893327	0.00552570819854736	0.00607837410643697	0.00606699660420418	0.0058596390299499	0.00590639421716332	0.00570752006024122	0.00606223521754146	0.00610023830085993	0.00555179500952363	0.00641972618177533	0.00593214808031917	0.00582226412370801	0.00555545184761286	0.00558628747239709	0.00550941098481417	0.00524056423455477	0.00555941555649042	0.00536216236650944	0.00490177189931273	0.00506203575059772
-157.4	0.00632397038862109	0.00638716807588935	0.00628131441771984	0.00624817004427314	0.0065455031581223	0.00619301153346896	0.0062598348595202	0.00629732478410006	0.00606723455712199	0.00590259116142988	0.00653597200289369	0.0060362252406776	0.00628157006576657	0.00563567085191607	0.00588651839643717	0.00625088298693299	0.00603631837293506	0.00720474915578961	0.00639234576374292	0.00627157976850867	0.00593636417761445	0.00589254917576909	0.00563688483089209	0.00567112164571881	0.00605455925688148	0.00597481848672032	0.00596467405557632	0.005594233982265	0.00591750908643007	0.00610443996265531	0.00595040572807193	0.00652921851724386	0.00566228060051799	0.00576179148629308	0.00598083343356848	0.00586145278066397	0.00619441317394376	0.00524719385430217	0.00552091840654612	0.00501490104943514	0.00523680355399847
-154.4	0.00635785842314363	0.00635619601234794	0.00644623022526503	0.0058355494402349	0.00618350552394986	0.00701817963272333	0.00671503879129887	0.00642183190211654	0.00624539330601692	0.00599020859226584	0.00620385399088264	0.00604589888826013	0.00624195858836174	0.00546493800356984	0.00583106791600585	0.00616489071398973	0.00603770092129707	0.00655172951519489	0.00730729568749666	0.00615351507440209	0.00572506617754698	0.00637022778391838	0.00577433966100216	0.00589110376313329	0.00602834345772862	0.00624882476404309	0.00602576183155179	0.0059618060477078	0.00584114016965032	0.00559336692094803	0.00571744795888662	0.00589653477072716	0.00624821567907929	0.00595350377261639	0.00542438635602593	0.00580798601731658	0.00526283029466867	0.00557426223531365	0.00531595712527633	0.0057344501838088	0.00562072917819023
